
Identifiant du sinistre,Entreprise,Date du sinistre,Montant du sinistre,Type de sinistre,Secteur d’activité de l’entreprise,Taux de couverture,Franchise appliquée,État de la réclamation,Historique des sinistres passés,Durée de traitement,Coût estimé du sinistre à la fin de la période de règlement,Risque associé au sinistre
S01387,Société Nouvelle Maison de la Ville de Tunis « MONOPRIX »,2020-09-05,26220.79,Vol,commerce,0.77,827.8,réglé,3,22,29491.24,moyen
S01388,Carthage Cement,2024-03-03,57137.94,Autre,industrie,0.62,2173.9,en cours,6,136,64872.7,élevé
S01389,MANUFACTURE DE PANNEAUX BOIS DU SUD – MPBS,2019-12-09,42953.58,Dommage matériel,industrie,0.67,1587.49,rejeté,5,29,0.0,élevé
S01390,UNION BANCAIRE POUR LE COMMERCE ET L’INDUSTRIE -UBCI-,2020-06-24,294539.87,Catastrophe naturelle,finance,0.83,6047.32,en cours,0,118,315850.67,moyen
S01391,SOCIETE TUNISIENNE DE L’AIR - TUNISAIR,2020-12-21,56052.3,Dommage matériel,transport,0.7,2378.59,réglé,0,42,58366.97,élevé
S01392,BH LEASING,2024-08-09,191166.14,Dégâts des eaux,finance,0.84,4316.78,réglé,2,64,219421.08,moyen
S01393,الجملة لأسواق التونسيـــّـــــة,2021-06-03,66351.38,Dégâts des eaux,commerce,0.72,2047.74,réglé,3,72,69925.79,moyen
S01394,MANUFACTURE DE PANNEAUX BOIS DU SUD – MPBS,2019-03-28,43480.01,Autre,industrie,0.61,1712.19,réglé,1,53,45544.73,élevé
S01395,SMART TUNISIE.SA,2023-10-27,181228.91,Catastrophe naturelle,technologie,0.71,4436.2,réglé,3,62,203606.17,moyen
S01396,BANQUE INTERNATIONALE ARABE DE TUNISIE,2024-01-14,403467.49,Catastrophe naturelle,finance,0.82,7760.16,réglé,0,70,428076.42,moyen
S01397,OFFICE PLAST S.A,2021-12-02,86145.71,Bris de machine,industrie,0.63,3651.76,réglé,5,76,94360.76,élevé
S01398,ESSOUKNA,2019-07-29,29931.44,Autre,construction,0.67,1024.69,en cours,5,86,31506.04,élevé
S01399,SOCIETE TUNISIENNE DES INDUSTRIES DE PNEUMATIQUES,2021-08-27,100080.22,Dégâts des eaux,industrie,0.69,3217.64,en cours,4,112,110870.83,élevé
S01400,BANQUE NATIONALE AGRICOLE –BNA BANK-,2023-12-02,121583.08,Dégâts des eaux,finance,0.86,2413.64,réglé,2,73,135450.18,moyen
S01401,ALKIMIA,2024-12-06,350105.75,Incendie,energie,0.66,12190.87,réglé,1,63,371790.7,élevé
S01402,الجملة لأسواق التونسيـــّـــــة,2021-10-23,151506.47,Dégâts des eaux,commerce,0.71,3852.77,réglé,6,50,172088.41,moyen
S01403,WIFAK INTERNATIONAL BANK,2024-08-31,104007.8,Dommage matériel,finance,0.85,1980.0,en cours,1,85,117552.81,moyen
S01404,OFFICE PLAST S.A,2024-03-01,1026911.06,Incendie,industrie,0.67,36088.2,réglé,1,55,1062157.91,élevé
S01405,SOCIETE TUNISIENNE DES INDUSTRIES DE PNEUMATIQUES,2024-11-23,137670.86,Dommage matériel,industrie,0.68,6217.44,en cours,5,72,146126.24,élevé
S01406,SOCIETE D’ARTICLES HYGIENIQUES « SAH »,2023-07-17,1141766.26,Incendie,industrie,0.68,44830.17,en cours,4,142,1312925.46,élevé
S01407,ALKIMIA,2019-12-08,1586555.87,Interruption d'activité,energie,0.67,56188.94,réglé,0,47,1672633.73,élevé
S01408,TUNISIE LEASING & FACTORING,2022-02-23,122167.85,Responsabilité civile,finance,0.9,2758.58,réglé,0,56,130575.64,moyen
S01409,WIFAK INTERNATIONAL BANK,2023-04-29,78358.41,Dégâts des eaux,finance,0.87,1313.29,réglé,2,60,85750.91,moyen
S01410,Société Moderne de Céramique -SOMOCER-,2023-09-25,259570.65,Catastrophe naturelle,industrie,0.61,10372.8,réglé,1,49,269947.43,élevé
S01411,PLACEMENTS DE TUNISIE SICAF,2023-10-01,1396513.57,Incendie,finance,0.87,25720.83,en cours,0,102,1603733.96,élevé
S01412,ASSURANCES MAGHREBIA S.A,2024-11-24,91687.28,Bris de machine,finance,0.85,1677.76,réglé,0,58,98455.9,moyen
S01413,ASSURANCES MAGHREBIA S.A,2022-09-22,120366.35,Dégâts des eaux,finance,0.84,2859.27,réglé,3,72,132565.37,moyen
S01414,ENNAKL AUTOMOBILES,2020-08-15,71427.0,Autre,transport,0.62,3379.08,en cours,2,132,78033.97,élevé
S01415,Carthage Cement,2021-06-08,19292.82,Vol,industrie,0.68,799.75,réglé,4,37,19559.29,élevé
S01416,SOCIETE TUNISIENNE DE REASSURANCE- TUNIS RE,2018-09-13,44070.13,Dommage matériel,finance,0.88,866.56,réglé,0,62,45586.96,faible
S01417,Amen Bank,2018-01-01,56561.93,Dommage matériel,finance,0.89,1298.93,réglé,2,50,64896.73,moyen
S01418,Carthage Cement,2024-06-28,99609.03,Dégâts des eaux,industrie,0.61,4616.38,en cours,3,122,110679.14,élevé
S01419,Société Tunisienne Industrielle du Papier et du Carton (SOTIPAPIER),2018-12-28,115970.02,Responsabilité civile,industrie,0.69,5157.86,réglé,1,55,127083.25,élevé
S01420,SOCIETE TUNISIENNE DE L’AIR - TUNISAIR,2020-08-09,25449.42,Vol,transport,0.62,942.28,réglé,4,71,27581.64,élevé
S01421,CELLCOM,2019-08-09,72140.47,Bris de machine,technologie,0.8,1789.58,réglé,3,30,80769.61,moyen
S01422,SOCIETE DE FABRICATION DES BOISSONS DE TUNISIE,2024-07-26,2449424.55,Incendie,industrie,0.63,99407.74,réglé,5,25,2688653.97,élevé
S01423,BH BANK,2024-02-07,1699142.06,Interruption d'activité,finance,0.85,33214.38,réglé,1,47,1865468.34,élevé
S01424,L’Accumulateur Tunisien ASSAD,2018-08-12,45414.55,Dommage matériel,industrie,0.6,1492.75,réglé,3,58,49408.81,élevé
S01425,Unimed,2021-12-19,23392.06,Vol,sante,0.8,567.27,réglé,2,50,23834.57,moyen
S01426,Automobiles Réseau Tunisien et Services ARTES,2023-04-19,2222372.18,Interruption d'activité,commerce,0.79,75615.63,réglé,3,53,2514322.21,élevé
S01427,Société de Placement et de Développement Industriel et Touristique,2024-04-24,3142806.86,Incendie,finance,0.81,65492.74,réglé,0,51,3263277.32,élevé
S01428,BNA Assurances,2023-07-23,960838.16,Incendie,finance,0.83,15723.48,réglé,1,50,1068036.92,moyen
S01429,TUNISIE LEASING & FACTORING,2018-08-08,151044.56,Dommage matériel,finance,0.83,2747.16,réglé,2,89,166314.49,moyen
S01430,SOCIETE TUNISIENNE DE L’AIR - TUNISAIR,2021-05-30,23530.62,Vol,transport,0.68,764.21,en cours,2,148,25864.75,élevé
S01431,Carthage Cement,2023-06-06,96543.52,Dégâts des eaux,industrie,0.67,4552.9,en cours,2,121,96752.69,élevé
S01432,Carthage Cement,2020-08-04,42980.15,Autre,industrie,0.62,1614.17,en cours,5,112,45885.91,élevé
S01433,SOCIETE DE FABRICATION DES BOISSONS DE TUNISIE,2024-06-24,1144031.26,Incendie,industrie,0.68,54357.86,réglé,2,50,1260288.11,élevé
S01434,HANNIBAL LEASE SA,2019-04-11,1441911.38,Incendie,finance,0.81,33426.31,réglé,0,72,1550035.48,élevé
S01435,Société de Placement et de Développement Industriel et Touristique,2019-09-02,425904.31,Catastrophe naturelle,finance,0.84,9963.36,réglé,2,69,483264.99,moyen
S01436,Société de Transport des Hydrocarbures par Pipelines - SOTRAPIL,2021-07-28,103458.5,Dommage matériel,energie,0.66,4183.25,en cours,3,134,104265.8,élevé
S01437,CITY CARS,2023-06-22,121532.25,Responsabilité civile,transport,0.61,5483.17,réglé,4,51,125933.13,élevé
S01438,الجملة لأسواق التونسيـــّـــــة,2024-11-26,5171856.66,Interruption d'activité,commerce,0.74,130229.81,réglé,1,60,5546679.13,élevé
S01439,Unimed,2018-09-22,161652.8,Dommage matériel,sante,0.77,5635.94,réglé,4,55,184297.49,moyen
S01440,BH BANK,2022-11-03,48363.83,Autre,finance,0.9,1010.1,réglé,3,78,55295.75,faible
S01441,NEW BODY LINE,2020-03-10,68819.54,Autre,commerce,0.75,2293.19,réglé,4,48,76178.4,moyen
S01442,NEW BODY LINE,2020-07-26,40981.94,Autre,commerce,0.76,1186.03,réglé,2,40,44587.74,moyen
S01443,SOCIETE TUNISIENNE DE L’AIR - TUNISAIR,2021-09-22,49963.05,Autre,transport,0.62,1712.14,réglé,2,65,56675.52,élevé
S01444,Les Industries Chimiques du Fluor,2020-03-15,45550.27,Autre,industrie,0.62,1568.62,réglé,3,66,50864.97,élevé
S01445,BH ASSURANCE,2021-08-26,95374.92,Responsabilité civile,finance,0.83,2020.77,rejeté,0,46,0.0,moyen
S01446,Carthage Cement,2018-08-28,698412.66,Incendie,industrie,0.69,27564.5,en cours,3,99,776397.05,élevé
S01447,SOCIETE TUNISIENNE DE REASSURANCE- TUNIS RE,2020-12-20,127150.5,Dégâts des eaux,finance,0.9,2455.69,réglé,0,31,137156.5,moyen
S01448,SMART TUNISIE.SA,2019-10-20,44332.64,Bris de machine,technologie,0.73,1529.76,réglé,3,48,50804.06,moyen
S01449,SOCIETE TUNISIENNE DES INDUSTRIES DE PNEUMATIQUES,2019-05-04,50228.83,Autre,industrie,0.61,2281.76,réglé,3,53,53916.74,élevé
S01450,SOCIETE TUNISIENNE DE VERRERIES -SOTUVER,2023-09-03,58441.17,Bris de machine,industrie,0.68,2075.6,réglé,3,45,62691.75,élevé
S01451,MANUFACTURE DE PANNEAUX BOIS DU SUD – MPBS,2020-05-29,939594.51,Incendie,industrie,0.68,43637.6,réglé,4,39,1061477.37,élevé
S01452,SOCIETE TUNISIENNE DE REASSURANCE- TUNIS RE,2021-12-17,4237891.74,Interruption d'activité,finance,0.88,93661.4,réglé,0,76,4617099.98,élevé
S01453,WIFAK INTERNATIONAL BANK,2020-01-31,173510.39,Bris de machine,finance,0.89,3449.07,en cours,1,107,188792.48,moyen
S01454,TUNISIE LEASING & FACTORING,2022-04-20,95118.48,Dégâts des eaux,finance,0.86,1566.62,en cours,0,132,96487.8,moyen
S01455,CITY CARS,2018-02-11,2810570.49,Interruption d'activité,transport,0.64,122440.14,réglé,1,50,3141070.57,élevé
S01456,Société de Transport des Hydrocarbures par Pipelines - SOTRAPIL,2022-07-28,339128.05,Dommage matériel,energie,0.69,13798.9,réglé,2,64,347306.87,élevé
S01457,BH BANK,2024-12-18,250233.41,Responsabilité civile,finance,0.89,4678.19,réglé,3,44,281554.9,moyen
S01458,"Société Tunisienne d'Assurances et de Réassurances    ""STAR""",2019-06-13,1424942.24,Incendie,finance,0.88,27587.32,réglé,0,47,1576504.72,élevé
S01459,PLACEMENTS DE TUNISIE SICAF,2022-07-23,135866.37,Dommage matériel,finance,0.8,2415.55,réglé,1,67,144311.66,moyen
S01460,BH LEASING,2022-10-13,71632.57,Dégâts des eaux,finance,0.8,1276.46,réglé,0,48,76962.27,moyen
S01461,Société Tunisienne d’Email -SOTEMAIL-,2018-02-19,11374.22,Vol,industrie,0.6,439.99,en cours,1,163,11605.82,élevé
S01462,Euro Cycles,2019-09-16,2229029.97,Interruption d'activité,industrie,0.63,92040.69,réglé,7,43,2500622.17,élevé
S01463,HANNIBAL LEASE SA,2018-01-20,41852.53,Autre,finance,0.81,811.74,réglé,0,45,42594.96,faible
S01464,BANQUE INTERNATIONALE ARABE DE TUNISIE,2022-11-20,48109.24,Dégâts des eaux,finance,0.89,917.33,réglé,1,72,50500.04,faible
S01465,ESSOUKNA,2018-09-09,15834.05,Vol,construction,0.68,575.75,réglé,8,79,16705.02,élevé
S01466,Société Industrielle d’Appareillage et de Matériels Electriques « SIAME »,2023-03-04,47934.15,Vol,industrie,0.65,2076.24,en cours,1,106,55066.92,élevé
S01467,"Société Tunisienne d'Assurances et de Réassurances    ""STAR""",2020-12-09,80043.56,Autre,finance,0.84,1742.76,réglé,2,50,85646.79,moyen
S01468,TUNINVEST SICAR,2020-05-13,80392.1,Dommage matériel,finance,0.85,1848.15,rejeté,4,8,0.0,moyen
S01469,ENNAKL AUTOMOBILES,2018-04-13,13158.77,Vol,transport,0.64,611.07,en cours,3,144,13313.16,élevé
S01470,BANQUE INTERNATIONALE ARABE DE TUNISIE,2020-02-24,59624.6,Dégâts des eaux,finance,0.83,956.58,réglé,0,67,65250.41,moyen
S01471,الجملة لأسواق التونسيـــّـــــة,2019-10-22,46765.45,Bris de machine,commerce,0.75,1421.45,réglé,4,61,52492.34,moyen
S01472,Les Industries Chimiques du Fluor,2019-06-26,15919.38,Vol,industrie,0.65,656.88,rejeté,1,28,0.0,élevé
S01473,Société Tunisienne Industrielle du Papier et du Carton (SOTIPAPIER),2021-09-07,158904.58,Responsabilité civile,industrie,0.62,5526.91,réglé,2,67,174281.83,élevé
S01474,BNA Assurances,2019-03-19,359736.64,Catastrophe naturelle,finance,0.88,7464.65,réglé,3,60,399055.28,moyen
S01475,ALKIMIA,2018-08-27,27022.13,Autre,energie,0.61,933.43,réglé,4,30,29597.6,élevé
S01476,Amen Bank,2022-05-01,1449579.29,Catastrophe naturelle,finance,0.87,26536.21,en cours,3,156,1524165.51,élevé
S01477,BH ASSURANCE,2018-07-29,111289.69,Responsabilité civile,finance,0.89,2206.04,rejeté,2,35,0.0,moyen
S01478,L’Accumulateur Tunisien ASSAD,2020-05-25,73208.29,Bris de machine,industrie,0.63,2686.14,réglé,3,56,83294.1,élevé
S01479,MANUFACTURE DE PANNEAUX BOIS DU SUD – MPBS,2021-07-23,120157.27,Bris de machine,industrie,0.69,4335.51,réglé,3,55,136183.94,élevé
S01480,"Société Tunisienne d'Assurances et de Réassurances    ""STAR""",2021-10-09,565295.73,Responsabilité civile,finance,0.86,10295.2,réglé,3,36,645525.78,moyen
S01481,SOCIETE D’ARTICLES HYGIENIQUES « SAH »,2021-05-12,54236.52,Bris de machine,industrie,0.63,2163.22,réglé,6,69,54992.46,élevé
S01482,WIFAK INTERNATIONAL BANK,2024-01-09,72871.27,Autre,finance,0.83,1493.26,réglé,2,57,72928.33,moyen
S01483,SOCIETE DE FABRICATION DES BOISSONS DE TUNISIE,2024-04-02,119441.84,Responsabilité civile,industrie,0.68,4861.44,rejeté,2,23,0.0,élevé
S01484,Société Tunisienne d’Entreprises de Télécommunications « SOTETEL »,2022-02-09,2014435.28,Interruption d'activité,technologie,0.72,69562.16,réglé,3,63,2045097.18,élevé
S01485,Les Industries Chimiques du Fluor,2022-07-10,134238.1,Dommage matériel,industrie,0.63,6158.24,en cours,1,96,149307.76,élevé
S01486,Automobiles Réseau Tunisien et Services ARTES,2022-09-20,35988.36,Vol,commerce,0.79,907.97,rejeté,5,9,0.0,moyen
S01487,Automobiles Réseau Tunisien et Services ARTES,2019-09-28,55395.97,Dégâts des eaux,commerce,0.76,1977.83,réglé,5,53,61229.5,moyen
S01488,NEW BODY LINE,2020-10-22,37641.03,Dégâts des eaux,commerce,0.72,1153.2,réglé,1,62,40504.21,moyen
S01489,Société Tunisienne Industrielle du Papier et du Carton (SOTIPAPIER),2018-12-30,1977965.55,Interruption d'activité,industrie,0.69,67606.11,en cours,1,77,2225877.29,élevé
S01490,NEW BODY LINE,2018-06-02,136648.75,Dommage matériel,commerce,0.7,4290.82,réglé,4,58,146727.87,moyen
S01491,BNA Assurances,2021-04-12,110320.29,Dégâts des eaux,finance,0.85,2063.51,en cours,0,113,114651.62,moyen
S01492,OFFICE PLAST S.A,2021-07-19,55982.68,Autre,industrie,0.64,1802.47,réglé,3,51,60615.07,élevé
S01493,WIFAK INTERNATIONAL BANK,2022-03-25,67300.5,Autre,finance,0.81,1239.11,réglé,1,61,67446.64,moyen
S01494,Société Industrielle d’Appareillage et de Matériels Electriques « SIAME »,2023-01-01,208073.41,Dommage matériel,industrie,0.69,9962.19,réglé,2,55,216105.66,élevé
S01495,AIR LIQUIDE TUNISIE,2022-11-28,236184.55,Catastrophe naturelle,industrie,0.68,10831.08,en cours,1,89,250909.61,élevé
S01496,BANQUE NATIONALE AGRICOLE –BNA BANK-,2022-08-05,22985.16,Autre,finance,0.82,506.36,réglé,3,51,24382.91,faible
S01497,UNION BANCAIRE POUR LE COMMERCE ET L’INDUSTRIE -UBCI-,2021-09-24,371639.61,Responsabilité civile,finance,0.84,7250.59,réglé,2,38,391306.95,moyen
S01498,SMART TUNISIE.SA,2022-07-18,25649.26,Autre,technologie,0.73,903.72,réglé,1,82,28580.5,moyen
S01499,TUNISIE LEASING & FACTORING,2022-01-29,93046.11,Bris de machine,finance,0.86,1898.97,réglé,0,63,95672.75,moyen
S01500,Société Industrielle d’Appareillage et de Matériels Electriques « SIAME »,2022-07-16,93829.32,Dommage matériel,industrie,0.66,4376.91,réglé,1,52,107754.04,élevé
S01501,NEW BODY LINE,2021-09-14,198281.44,Dommage matériel,commerce,0.75,5745.48,en cours,3,143,204142.93,moyen
S01502,BH LEASING,2021-12-07,19610.12,Vol,finance,0.85,461.22,rejeté,4,21,0.0,faible
S01503,ESSOUKNA,2022-02-14,96465.83,Catastrophe naturelle,construction,0.68,3684.81,réglé,3,47,106883.31,élevé
S01504,ASSURANCES MAGHREBIA VIE S.A,2020-09-21,1309953.57,Incendie,finance,0.8,25196.98,en cours,0,109,1399233.52,élevé
S01505,COMPAGNIE INTERNATIONALE DE LEASING - CIL-,2021-12-09,675566.14,Responsabilité civile,finance,0.83,15005.12,rejeté,5,27,0.0,moyen
S01506,"Société Tunisienne d'Assurances et de Réassurances    ""STAR""",2019-02-07,63981.1,Dommage matériel,finance,0.89,1314.44,en cours,0,128,71401.03,moyen
S01507,Société de Transport des Hydrocarbures par Pipelines - SOTRAPIL,2018-12-15,57728.33,Autre,energie,0.65,2534.02,réglé,1,78,66329.48,élevé
S01508,SOCIETE DE FABRICATION DES BOISSONS DE TUNISIE,2024-12-01,83467.46,Autre,industrie,0.64,2829.43,réglé,5,78,94614.78,élevé
S01509,BANQUE NATIONALE AGRICOLE –BNA BANK-,2020-09-02,119127.66,Dommage matériel,finance,0.86,2542.85,réglé,0,34,124338.61,moyen
S01510,BH ASSURANCE,2018-04-09,5096280.81,Incendie,finance,0.83,96744.21,en cours,1,137,5132039.73,élevé
S01511,Les Industries Chimiques du Fluor,2023-06-04,53773.3,Autre,industrie,0.61,2439.31,réglé,5,57,58952.02,élevé
S01512,Euro Cycles,2021-01-21,388923.17,Catastrophe naturelle,industrie,0.67,12917.27,réglé,4,55,391053.85,élevé
S01513,UNION INTERNATIONALE DE BANQUES - UIB,2023-01-23,13795.68,Vol,finance,0.81,279.21,en cours,1,147,15390.9,faible
S01514,SOCIETE TUNISIENNE DES INDUSTRIES DE PNEUMATIQUES,2020-08-01,28859.07,Autre,industrie,0.61,1300.7,réglé,2,50,29801.23,élevé
S01515,ATTIJARI LEASING,2023-10-02,25206.66,Vol,finance,0.9,588.32,réglé,1,47,28656.54,faible
S01516,Tunisie Profilés Aluminium -TPR-,2018-09-09,107428.59,Autre,industrie,0.66,4705.14,réglé,3,68,115318.54,élevé
S01517,SOCIETE D’ARTICLES HYGIENIQUES « SAH »,2022-10-02,38808.81,Dégâts des eaux,industrie,0.64,1348.94,réglé,4,58,44620.72,élevé
S01518,COMPAGNIE INTERNATIONALE DE LEASING - CIL-,2022-05-25,49552.2,Vol,finance,0.86,1162.98,réglé,1,59,55506.05,faible
S01519,ASSURANCES MAGHREBIA VIE S.A,2022-01-11,73306.26,Dommage matériel,finance,0.88,1383.18,réglé,1,46,79981.52,moyen
S01520,SOCIETE TUNISIENNE DE VERRERIES -SOTUVER,2024-01-06,34331.26,Vol,industrie,0.67,1158.69,en cours,2,123,38994.68,élevé
S01521,Compagnie d’assurances et de réassurances ASTREE,2024-02-04,124296.56,Responsabilité civile,finance,0.84,2911.02,réglé,1,59,129640.65,moyen
S01522,BH BANK,2021-06-24,35483.8,Bris de machine,finance,0.83,781.3,réglé,3,39,40182.7,faible
S01523,SOCIETE TUNISIENNE DES INDUSTRIES DE PNEUMATIQUES,2020-01-04,92672.63,Responsabilité civile,industrie,0.66,3845.99,réglé,2,85,99127.51,élevé
S01524,OFFICE PLAST S.A,2023-03-22,774256.12,Catastrophe naturelle,industrie,0.62,37037.17,en cours,5,104,862961.68,élevé
S01525,Société de Transport des Hydrocarbures par Pipelines - SOTRAPIL,2018-03-16,1994056.04,Incendie,energie,0.64,82690.62,réglé,5,84,2149191.93,élevé
S01526,SOCIETE TUNISIENNE DE VERRERIES -SOTUVER,2019-12-27,123839.29,Responsabilité civile,industrie,0.67,4648.35,en cours,5,166,141533.96,élevé
S01527,ASSURANCES MAGHREBIA S.A,2018-04-22,41920.26,Vol,finance,0.88,698.42,réglé,0,37,44236.2,faible
S01528,Carthage Cement,2019-04-02,1228045.47,Incendie,industrie,0.7,58131.89,en cours,2,158,1352541.23,élevé
S01529,Compagnie d’assurances et de réassurances ASTREE,2024-10-30,100830.26,Dommage matériel,finance,0.81,1713.57,réglé,0,81,115902.26,moyen
S01530,WIFAK INTERNATIONAL BANK,2020-07-23,128609.71,Bris de machine,finance,0.82,2888.68,réglé,1,59,145953.37,moyen
S01531,ENNAKL AUTOMOBILES,2018-02-07,158848.74,Catastrophe naturelle,transport,0.61,6827.16,réglé,2,81,176315.15,élevé
S01532,ATTIJARI LEASING,2023-08-22,1600232.83,Interruption d'activité,finance,0.83,38050.07,réglé,1,64,1698501.61,élevé
S01533,UNION INTERNATIONALE DE BANQUES - UIB,2019-03-12,1074760.66,Incendie,finance,0.89,19583.76,réglé,1,48,1195783.59,élevé
S01534,Automobiles Réseau Tunisien et Services ARTES,2023-08-23,60803.67,Autre,commerce,0.78,1610.87,réglé,2,74,64981.51,moyen
S01535,ESSOUKNA,2024-03-21,48962.43,Dégâts des eaux,construction,0.68,1594.68,rejeté,1,30,0.0,élevé
S01536,L’Accumulateur Tunisien ASSAD,2022-06-18,51353.79,Dommage matériel,industrie,0.63,1676.04,réglé,1,58,51455.91,élevé
S01537,TUNINVEST SICAR,2019-08-08,100504.84,Autre,finance,0.9,1686.38,en cours,0,130,103828.61,moyen
S01538,ATTIJARI LEASING,2024-11-27,115547.98,Dommage matériel,finance,0.87,2131.49,réglé,0,58,123422.53,moyen
S01539,AIR LIQUIDE TUNISIE,2024-02-19,71006.76,Dégâts des eaux,industrie,0.67,2427.6,réglé,4,59,80699.1,élevé
S01540,Société Industrielle d’Appareillage et de Matériels Electriques « SIAME »,2022-01-03,118772.43,Dégâts des eaux,industrie,0.7,5285.77,en cours,2,95,123842.53,élevé
S01541,Tunisie Profilés Aluminium -TPR-,2022-12-11,3992925.35,Interruption d'activité,industrie,0.6,190926.12,réglé,2,61,4463004.57,élevé
S01542,UNION INTERNATIONALE DE BANQUES - UIB,2018-08-16,84586.47,Dommage matériel,finance,0.84,1567.14,rejeté,2,25,0.0,moyen
S01543,Société de Placement et de Développement Industriel et Touristique,2018-12-07,49520.66,Autre,finance,0.86,1031.39,rejeté,2,38,0.0,faible
S01544,LES CIMENTS DE BIZERTE,2020-01-18,266686.09,Catastrophe naturelle,industrie,0.67,9235.77,réglé,5,66,299537.83,élevé
S01545,BH LEASING,2022-04-25,149074.55,Dommage matériel,finance,0.88,3549.84,réglé,1,70,167247.63,moyen
S01546,Société Industrielle d’Appareillage et de Matériels Electriques « SIAME »,2023-03-07,93713.71,Dégâts des eaux,industrie,0.66,4426.32,réglé,1,49,93980.42,élevé
S01547,WIFAK INTERNATIONAL BANK,2020-07-16,48468.7,Bris de machine,finance,0.88,1138.42,réglé,2,45,55507.71,faible
S01548,BH ASSURANCE,2018-04-03,121405.96,Autre,finance,0.81,1942.88,en cours,1,136,126256.41,moyen
S01549,ASSURANCES MAGHREBIA S.A,2021-10-28,54981.2,Responsabilité civile,finance,0.8,1238.23,en cours,0,104,63161.96,moyen
S01550,CITY CARS,2023-01-02,1163805.43,Incendie,transport,0.66,55523.28,réglé,3,51,1323163.7,élevé
S01551,Société Tunisienne d’Email -SOTEMAIL-,2024-08-23,565453.65,Catastrophe naturelle,industrie,0.62,26703.4,réglé,3,67,586021.61,élevé
S01552,SOCIETE TUNISIENNE DES INDUSTRIES DE PNEUMATIQUES,2024-12-16,87386.93,Dégâts des eaux,industrie,0.67,3166.89,réglé,5,49,95796.49,élevé
S01553,CELLCOM,2018-04-26,49159.11,Dommage matériel,technologie,0.73,1665.1,réglé,2,37,56494.19,moyen
S01554,ESSOUKNA,2020-03-15,53216.0,Autre,construction,0.66,1733.13,réglé,5,60,54935.07,élevé
S01555,Société Tunisienne Industrielle du Papier et du Carton (SOTIPAPIER),2021-10-17,96879.7,Autre,industrie,0.62,3407.18,réglé,3,40,99234.51,élevé
S01556,Euro Cycles,2018-03-06,38880.79,Dommage matériel,industrie,0.62,1344.26,réglé,3,71,44286.86,élevé
S01557,ASSURANCES MAGHREBIA S.A,2020-08-20,7111.63,Vol,finance,0.87,158.99,en cours,1,133,7847.58,faible
S01558,Attijari bank,2021-10-15,61891.58,Dommage matériel,finance,0.85,1276.59,réglé,0,62,69264.88,moyen
S01559,Société Tunisienne d’Entreprises de Télécommunications « SOTETEL »,2023-10-16,2069991.58,Interruption d'activité,technologie,0.74,65344.9,en cours,0,126,2164316.75,élevé
S01560,LES CIMENTS DE BIZERTE,2021-09-14,11930.64,Vol,industrie,0.7,427.59,en cours,1,131,12546.04,élevé
S01561,L’Accumulateur Tunisien ASSAD,2021-10-05,65987.41,Dégâts des eaux,industrie,0.67,2981.83,réglé,4,28,74220.16,élevé
S01562,SMART TUNISIE.SA,2019-12-07,26511.43,Autre,technologie,0.73,844.47,réglé,1,61,30158.61,moyen
S01563,NEW BODY LINE,2021-11-26,38736.6,Autre,commerce,0.75,1127.73,réglé,4,67,43461.88,moyen
S01564,BH LEASING,2023-09-18,1533524.5,Incendie,finance,0.84,31825.6,réglé,1,64,1570117.43,élevé
S01565,BH LEASING,2018-01-12,26678.61,Autre,finance,0.89,432.83,réglé,1,37,29504.03,faible
S01566,WIFAK INTERNATIONAL BANK,2020-04-01,76817.17,Dégâts des eaux,finance,0.83,1581.33,en cours,4,110,84095.04,moyen
S01567,SMART TUNISIE.SA,2022-01-27,365891.08,Catastrophe naturelle,technologie,0.72,9570.47,réglé,2,42,397851.34,moyen
S01568,L’Accumulateur Tunisien ASSAD,2020-01-12,179770.99,Dégâts des eaux,industrie,0.63,8032.01,réglé,3,60,204767.0,élevé
S01569,Les Industries Chimiques du Fluor,2018-11-04,70315.0,Dommage matériel,industrie,0.69,3144.78,réglé,4,54,80786.26,élevé
S01570,DELICE HOLDING,2018-05-04,8092.94,Vol,industrie,0.69,380.12,réglé,3,50,9012.86,élevé
S01571,SOCIETE TUNISIENNE DE BANQUE,2020-05-07,11039.76,Vol,finance,0.89,221.63,réglé,2,42,12459.11,faible
S01572,DELICE HOLDING,2024-05-12,31967.92,Dommage matériel,industrie,0.64,1495.26,réglé,4,50,35225.68,élevé
S01573,PLACEMENTS DE TUNISIE SICAF,2021-04-03,76947.35,Autre,finance,0.86,1567.16,réglé,1,58,87418.61,moyen
S01574,Tunisie Profilés Aluminium -TPR-,2024-05-22,63463.37,Dégâts des eaux,industrie,0.61,2985.84,réglé,5,76,68515.0,élevé
S01575,Société de Placement et de Développement Industriel et Touristique,2021-05-07,250071.69,Catastrophe naturelle,finance,0.82,4867.67,réglé,0,70,283474.19,moyen
S01576,LES CIMENTS DE BIZERTE,2022-11-30,27773.66,Vol,industrie,0.68,1333.06,réglé,2,72,30356.02,élevé
S01577,Attijari bank,2018-07-24,263062.45,Dommage matériel,finance,0.83,5794.61,réglé,2,52,273257.87,moyen
S01578,BH ASSURANCE,2020-03-29,65480.95,Dommage matériel,finance,0.88,1489.89,en cours,0,145,66485.64,moyen
S01579,TUNISIE LEASING & FACTORING,2024-10-19,4004986.15,Incendie,finance,0.89,93687.7,réglé,6,66,4178981.09,élevé
